id_vile;ville;code_postal
1;CASTELNAU TURSAN;40320
2;CASTELNER;40700
3;CASTETS;40260
4;CAZERES SUR L ADOUR;40270
5;CLASSUN;40320
6;CLEDES;40320
7;CLERMONT;40180
8;ESCALANS;40310
9;FARGUES;40500
10;GAILLERES;40090
11;GARROSSE;40110
12;GEAUNE;40320
13;GOUTS;40400
14;HASTINGUES;40300
15;HAUT MAUCO;40280
16;HERM;40990
17;HERRE;40310
18;HEUGAS;40180
19;HINX;40180
20;LABOUHEYRE;40210
21;LACQUY;40120
22;LAGLORIEUSE;40090
23;LAUREDE;40250
24;LENCOUACQ;40120
25;LEON;40550
26;LESGOR;40400
27;LINXE;40260
28;LOURQUEN;40250
29;LUXEY;40430
30;MAGESCQ;40140
31;MAILLAS;40120
32;MAILLERES;40120
33;MANT;40700
34;MAURIES;40320
35;MAURRIN;40270
36;MONSEGUR;40700
37;MONTAUT;40500
38;MOUSTEY;40410
39;MUGRON;40250
40;ONARD;40380
41;OZOURT;40380
42;POMAREZ;40360
43;PORT DE LANNE;40300
44;POUYDESSEAUX;40120
45;PUJO LE PLAN;40190
46;ST ETIENNE D ORTHE;40300
47;ST MARTIN DE HINX;40390
48;ST SEVER;40500
49;ST YAGUEN;40400
50;SEIGNOSSE;40510
51;SOLFERINO;40210
52;TOULOUZETTE;40250
53;VERT;40420
54;LE VIGNAU;40270
55;AMBLOY;41310
56;AVARAY;41500
57;CHAUMONT SUR LOIRE;41150
58;CHAUMONT SUR THARONNE;41600
59;CHAUVIGNY DU PERCHE;41270
60;CHEMERY;41700
61;CHITENAY;41120
62;CORMENON;41170
63;CORMERAY;41120
64;CROUY SUR COSSON;41220
65;EPIAIS;41290
66;FEINGS;41120
67;LA FERTE ST CYR;41220
68;LA FONTENELLE;41270
69;FORTAN;41360
70;FOSSE;41330
71;FOUGERES SUR BIEVRE;41120
72;LE GAULT PERCHE;41270
73;GOMBERGEAN;41310
74;HERBAULT;41190
75;JOSNES;41370
76;LANGON;41320
77;LESTIOU;41500
78;LA MADELEINE VILLEFROUIN;41370
79;MARAY;41320
80;MESLAND;41150
81;MONTRICHARD VAL DE CHER;41400
82;MONTROUVEAU;41800
83;NOURRAY;41310
84;NOYERS SUR CHER;41140
85;OISLY;41700
86;BEAUCE LA ROMAINE;41160
87;BEAUCE LA ROMAINE;41240
88;PEZOU;41100
89;PONTLEVOY;41400
90;PRAY;41190
91;RHODON;41290
92;RUAN SUR EGVONNE;41270
93;ST ARNOULT;41800
94;ST CYR DU GAULT;41190
95;ST GERVAIS LA FORET;41350
96;ST JULIEN DE CHEDON;41400
97;ST RIMAY;41800
98;SANTENAY;41190
99;SARGE SUR BRAYE;41170
100;SAVIGNY SUR BRAYE;41360
101;MIGNOVILLARD;39250
102;MIGNOVILLARD;39250
103;MONTAIN;39210
104;MONTFLEUR;39320
105;MONTHOLIER;39800
106;MONTMIREY LE CHATEAU;39290
107;MONT SUR MONNET;39300
108;HAUTS DE BIENNE;39400
109;MOUTONNE;39270
110;NANCE;39140
111;NEY;39300
112;NOZEROY;39250
113;OFFLANGES;39290
114;ORGELET;39270
115;ORGELET;39270
116;PARCEY;39100
117;PATORNAY;39130
118;PERRIGNY;39570
119;LA PESSE;39370
120;LES PLANCHES EN MONTAGNE;39150
121;POLIGNY;39800
122;PORT LESNEY;39600
123;RAHON;39120
124;RECANOZ;39230
125;ROMAIN;39350
126;RUFFEY SUR SEILLE;39140
127;ST BARAING;39120
128;ST CLAUDE;39200
129;ST CLAUDE;39200
130;ST DIDIER;39570
131;ST HYMETIERE;39240
132;ST LAMAIN;39230
133;SALANS;39700
134;SANTANS;39380
135;SAPOIS;39300
136;SAVIGNA;39240
137;SELIGNEY;39120
138;SERRE LES MOULIERES;39700
139;SIROD;39300
140;SONGESON;39130
141;SOUCIA;39130
142;TAXENNE;39350
143;THOISSIA;39160
144;VALEMPOULIERES;39300
145;VALFIN SUR VALOUSE;39240
146;LE VAUDIOUX;39300
147;VAUX SUR POLIGNY;39800
148;VERNANTOIS;39570
149;LA VIEILLE LOYE;39380
150;VILLARD SUR BIENNE;39200
151;VILLENEUVE SOUS PYMONT;39570
152;VILLERS FARLAY;39600
153;VILLERS ROBERT;39120
154;VINCELLES;39190
155;VINCENT FROIDEVILLE;39230
156;VIRY;39360
157;VULVOZ;39360
158;AIRE SUR L ADOUR;40800
159;AMOU;40330
160;ARBOUCAVE;40320
161;ARENGOSSE;40110
162;ARJUZANX;40110
163;ARTASSENX;40090
164;AUBAGNAN;40700
165;BASCONS;40090
166;BASSERCLES;40700
167;BEYLONGUE;40370
168;BISCARROSSE;40600
169;BOURRIOT BERGONCE;40120
170;CALLEN;40430
171;CANENX ET REAUT;40090
172;CARCARES STE CROIX;40400
173;CASSEN;40380
174;CASTANDET;40270
175;CASTEL SARRAZIN;40330
176;CAZALIS;40700
177;COUDURES;40500
178;DUHORT BACHEN;40800
179;DUMES;40500
180;GAAS;40350
181;GAMARDE LES BAINS;40380
182;GAUJACQ;40330
183;GOUSSE;40465
184;HAGETMAU;40700
185;HAURIET;40250
186;HONTANX;40190
187;JOSSE;40230
188;LABENNE;40530
189;LEVIGNACQ;40170
190;LUBBON;40240
191;LUCBARDEZ ET BARGUES;40090
192;LUE;40210
193;LUGLON;40630
194;LUSSAGNET;40270
195;MANO;40410
196;MAUVEZIN D ARMAGNAC;40240
197;MAZEROLLES;40090
198;MIMBASTE;40350
199;MISSON;40290
200;MOLIETS ET MAA;40660
201;MAZIERES SUR BERONNE;79500
202;MELLE;79500
203;LA MOTHE ST HERAY;79800
204;NIORT;79000
205;OIRON;79100
206;OIRON;79100
207;PAIZAY LE CHAPT;79170
208;PAIZAY LE TORT;79500
209;PAS DE JEU;79100
210;LA PEYRATTE;79200
211;PIOUSSAY;79110
212;POMPAIRE;79200
213;POUGNE HERISSON;79130
214;PRESSIGNY;79390
215;LA ROCHENARD;79270
216;ROM;79120
217;ROMANS;79260
218;VOULMENTIN;79150
219;ST ETIENNE LA CIGOGNE;79360
220;ST GEORGES DE NOISNE;79400
221;ST LAURS;79160
222;ST LEGER DE LA MARTINIERE;79500
223;ST MARC LA LANDE;79310
224;ST MAXIRE;79410
225;ST ROMANS DES CHAMPS;79230
226;ST SYMPHORIEN;79270
227;SCIECQ;79000
228;SCILLE;79240
229;SECONDIGNE SUR BELLE;79170
230;THENEZAY;79390
231;VANCAIS;79120
232;LE VANNEAU IRLEAU;79270
233;VAUSSEROUX;79420
234;VOUHE;79310
235;ACHEUX EN AMIENOIS;80560
236;AILLY LE HAUT CLOCHER;80690
237;ALLAINES;80200
238;ARGUEL;80140
239;ARRY;80120
240;ATHIES;80200
241;AVELESGES;80270
242;BARLY;80600
243;BEAUCAMPS LE VIEUX;80430
244;BEAUMETZ;80370
245;BEHEN;80870
246;BELLEUSE;80160
247;BERMESNIL;80140
248;BERNATRE;80370
