id_ville;ville;code_postal
1;L'Abergement-Clémenciat;1400
2;L'Abergement-de-Varey;1640
3;Ambérieu-en-Bugey;1500
4;Ambérieux-en-Dombes;1330
5;Ambléon;1300
6;Ambronay;1500
7;Ambutrix;1500
8;Andert-et-Condon;1300
9;Anglefort;1350
10;Apremont;1100
11;Aranc;1110
12;Arandas;1230
13;Arbent;1100
14;Arbignieu;1300
15;Arbigny;1190
16;Argis;1230
17;Armix;1510
18;Ars-sur-Formans;1480
19;Artemare;1510
20;Asnières-sur-Saône;1570
21;Attignat;1340
22;Bâgé-la-Ville;1380
23;Bâgé-le-Châtel;1380
24;Balan;1360
25;Baneins;1990
26;Beaupont;1270
27;Beauregard;1480
28;Bellignat;1100
29;Béligneux;1360
30;Bellegarde-sur-Valserine;1200
31;Belley;1300
32;Belleydoux;1130
33;Belmont-Luthézieu;1260
34;Bénonces;1470
35;Bény;1370
36;Béon;1350
37;Béréziat;1340
38;Bettant;1500
39;Bey;1290
40;Beynost;1700
41;Billiat;1200
42;Birieux;1330
43;Biziat;1290
44;Blyes;1150
45;La Boisse;1120
46;Boissey;1190
47;Bolozon;1450
48;Bouligneux;1330
49;Bourg-en-Bresse;1000
50;Bourg-Saint-Christophe;1800
51;Boyeux-Saint-Jérôme;1640
52;Boz;1190
53;Brégnier-Cordon;1300
54;Brénaz;1260
55;Brénod;1110
56;Brens;1300
57;Bressolles;1360
58;Brion;1460
59;Briord;1470
60;Buellas;1310
61;La Burbanche;1510
62;Ceignes;1430
63;Cerdon;1450
64;Certines;1240
65;Cessy;1170
66;Ceyzériat;1250
67;Ceyzérieu;1350
68;Chalamont;1320
69;Chaleins;1480
70;Chaley;1230
71;Challes-la-Montagne;1450
72;Challex;1630
73;Champagne-en-Valromey;1260
74;Champdor;1110
75;Champfromier;1410
76;Chanay;1420
77;Chaneins;1990
78;Chanoz-Châtenay;1400
79;La Chapelle-du-Châtelard;1240
80;Charix;1130
81;Charnoz-sur-Ain;1800
82;Château-Gaillard;1500
83;Châtenay;1320
84;Châtillon-en-Michaille;1200
85;Châtillon-la-Palud;1320
86;Châtillon-sur-Chalaronne;1400
87;Chavannes-sur-Reyssouze;1190
88;Chavannes-sur-Suran;1250
89;Chaveyriat;1660
90;Chavornay;1510
91;Chazey-Bons;1300
92;Chazey-sur-Ain;1150
93;Cheignieu-la-Balme;1510
94;Chevillard;1430
95;Chevroux;1190
96;Chevry;1170
97;Chézery-Forens;1410
98;Civrieux;1390
99;Cize;1250
100;Cleyzieu;1230
101;Coligny;1270
102;Collonges;1550
103;Colomieu;1300
104;Conand;1230
105;Condamine;1430
106;Condeissiat;1400
107;Confort;1200
108;Confrançon;1310
109;Contrevoz;1300
110;Conzieu;1300
111;Corbonod;1420
112;Corcelles;1110
113;Corlier;1110
114;Cormaranche-en-Bugey;1110
115;Cormoranche-sur-Saône;1290
116;Cormoz;1560
117;Corveissiat;1250
118;Courmangoux;1370
119;Courtes;1560
120;Crans;1320
121;Cras-sur-Reyssouze;1340
122;Cressin-Rochefort;1350
123;Crottet;1290
124;Crozet;1170
125;Cruzilles-lès-Mépillat;1290
126;Culoz;1350
127;Curciat-Dongalon;1560
128;Curtafond;1310
129;Cuzieu;1300
130;Dagneux;1120
131;Divonne-les-Bains;1220
132;Dommartin;1380
133;Dompierre-sur-Veyle;1240
134;Dompierre-sur-Chalaronne;1400
135;Domsure;1270
136;Dortan;1590
137;Douvres;1500
138;Drom;1250
139;Druillat;1160
140;Échallon;1130
141;Échenevex;1170
142;Étrez;1340
143;Évosges;1230
144;Faramans;1800
145;Fareins;1480
146;Farges;1550
147;Feillens;1570
148;Ferney-Voltaire;1210
149;Flaxieu;1350
150;Foissiat;1340
151;Francheleins;1090
152;Frans;1480
153;Garnerans;1140
154;Genouilleux;1090
155;Béard-Géovreissiat;1460
156;Géovreisset;1100
157;Germagnat;1250
158;Gex;1170
159;Giron;1130
160;Gorrevod;1190
161;Le Grand-Abergement;1260
162;Grand-Corent;1250
163;Grièges;1290
164;Grilly;1220
165;Groissiat;1100
166;Groslée;1680
167;Guéreins;1090
168;Hautecourt-Romanèche;1250
169;Hauteville-Lompnes;1110
170;Hostiaz;1110
171;Hotonnes;1260
172;Illiat;1140
173;Injoux-Génissiat;1200
174;Innimond;1680
175;Izenave;1430
176;Izernore;1580
177;Izieu;1300
178;Jassans-Riottier;1480
179;Jasseron;1250
180;Jayat;1340
181;Journans;1250
182;Joyeux;1800
183;Jujurieux;1640
184;Labalme;1450
185;Lagnieu;1150
186;Laiz;1290
